サ,さ,1304,1304,441,-2.7862
カタ,方,1304,1304,48,-4.3531
イ,い,930,930,356,-2.1359
イル,いる,919,919,468,-2.0252
ヨ,よ,288,288,17,-2.1371
タ,た,435,435,282,-1.4107
ソウ,そう,1309,1309,17,-3.6927
テ,て,307,307,356,-1.5309
ソウ,そう,1282,1282,17,-4.0158
コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
ソ,そ,1309,1309,437,-4.2702
ノ,の,282,282,408,-2.7783
・,・,5,5,203,-2.9388
ドウ,どう,1282,1282,468,-4.8079
ナカ,中,1285,1285,282,-4.2532
…,…,5,5,184,-3.0115
ン,ん,1310,1310,437,-3.4233
マダ,まだ,1282,1282,468,-5.0085
チョット,ちょっと,1282,1282,17,-5.0510
サラニ,さらに,1282,1282,282,-5.0764
スコシ,少し,1282,1282,48,-5.0829
ン,ん,515,515,437,-2.4947
ガ,が,299,299,468,-2.1078
、,、,10,10,151,-1.2388
ノ,の,368,368,408,-1.2496
ネエ,ねえ,20,20,468,-2.2417
ミ,み,930,930,52,-4.4849
アリガトウ,ありがとう,3,3,244,-3.6509
ジッサイ,実際,1282,1282,468,-5.4225
