」,」,7,7,121,-2.0635
、,、,10,10,151,-1.2388
。,。,8,8,61,-1.3314
タ,た,435,435,282,-1.4107
ガ,が,148,148,468,-1.4760
テ,て,307,307,356,-1.5309
デ,で,149,149,468,-1.6217
ナ,な,454,454,287,-1.8657
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
スル,する,599,599,481,-1.9256
サ,さ,605,605,441,-1.9429
シロ,しろ,608,608,437,-1.9511
ト,と,164,164,282,-1.8315
カラ,から,147,147,356,-2.0033
カ,か,359,359,468,-2.0138
ト,と,150,150,282,-2.0205
イル,いる,919,919,468,-2.0252
レ,れ,876,876,468,-2.0302
マシ,まし,501,501,17,-2.0568
ト,と,363,363,282,-2.0990
ナウ,なう,32,32,468,-2.1302
ナカレ,なかれ,30,30,468,-2.1302
ナキ,なき,22,22,468,-2.1302
ナシ,なし,24,24,468,-2.1302
ニ,に,329,329,282,-2.1304
イ,い,930,930,356,-2.1359
アル,ある,403,403,481,-2.1662
ネ,ね,279,279,47,-2.1710
ヤ,や,366,366,43,-2.1736
