ダ,だ,453,453,471,-1.9207
ネエ,ねえ,20,20,468,-2.2417
、,、,10,10,151,-1.2388
ナイ,ない,473,473,468,-1.9102
アル,ある,772,772,481,-3.0053
ナル,なる,772,772,471,-3.1026
ガル,がる,886,886,17,-3.6989
ナイ,ない,20,20,468,-3.4820
モウ,もう,1281,1281,468,-5.0134
ナク,なく,36,36,468,-2.1982
・,・,5,5,203,-2.9388
…,…,5,5,184,-3.0115
ホントウニ,本当に,1281,1281,17,-5.2749
ヨク,よく,1281,1281,48,-5.2940
トクニ,特に,1281,1281,468,-5.4837
イツモ,いつも,1281,1281,17,-5.5479
ハジメテ,初めて,1281,1281,356,-5.5809
。,。,8,8,61,-1.3314
ニ,に,151,151,282,-1.3804
タ,た,435,435,282,-1.4107
ナンカ,なんか,2,2,17,-3.9453
ズット,ずっと,1281,1281,48,-5.8266
テ,て,307,307,356,-1.5309
モット,もっと,1281,1281,48,-5.8783
ホトンド,ほとんど,1281,1281,468,-5.9445
チャント,ちゃんと,1281,1281,17,-5.9670
ヤッパリ,やっぱり,1281,1281,17,-5.9875
デス,です,460,460,17,-2.4302
メッチャ,めっちゃ,1281,1281,420,-6.0230
モ,も,262,262,468,-1.7359
