コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
ト,と,164,164,282,-1.8315
ン,ん,1310,1310,437,-3.4233
。,。,8,8,61,-1.3314
ト,と,309,309,282,-2.2809
ノデ,ので,316,316,48,-2.3480
モノ,もの,1310,1310,468,-4.0243
ヨウ,よう,1312,1312,169,-2.2816
カ,か,359,359,468,-2.0138
ナカ,中,1285,1285,282,-4.2532
カモ,かも,330,330,252,-2.7422
ホウ,方,1310,1310,48,-4.6944
タメ,ため,1313,1313,282,-3.3371
トキ,時,1310,1310,282,-5.0542
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
カラ,から,297,297,356,-2.2876
モノ,者,1310,1310,42,-5.0809
コト,事,1310,1310,282,-5.0883
トキ,時,1285,1285,282,-5.0542
ガ,が,148,148,468,-1.4760
モノ,者,1285,1285,42,-5.0809
タ,多,1285,1285,351,-5.1111
シ,し,610,610,258,-1.5990
デ,で,149,149,468,-1.6217
、,、,10,10,151,-1.2388
タチ,立ち,1285,1285,356,-5.2779
ミ,見,1285,1285,52,-5.2814
カズ,数,1285,1285,387,-5.3511
