ン,ん,515,515,437,-2.4947
ナイ,ない,473,473,468,-1.9102
レ,れ,876,876,468,-2.0302
、,、,10,10,151,-1.2388
タ,た,435,435,282,-1.4107
イ,い,930,930,356,-2.1359
ズ,ず,487,487,282,-2.5749
」,」,7,7,121,-2.0635
ノ,の,368,368,408,-1.2496
コト,こと,1310,1310,282,-2.7223
ナク,なく,481,481,468,-2.5180
ナイ,ない,482,482,468,-2.1865
ノ,の,1310,1310,408,-2.8286
ラレ,られ,876,876,356,-3.7460
ナカ,中,1285,1285,282,-4.2532
レル,れる,870,870,468,-2.2495
ナクッ,なくっ,481,481,17,-2.7361
ト,と,164,164,282,-1.8315
テ,て,307,307,356,-1.5309
ナ,な,454,454,287,-1.8657
セ,せ,876,876,258,-4.2553
デキ,でき,625,625,481,-4.3613
ン,ん,1310,1310,437,-3.4233
ミ,見,625,625,52,-4.4382
ナ,な,468,468,287,-2.1946
オ,お,560,560,437,-3.4466
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
