ヲ,を,156,156,356,-1.4309
デ,で,149,149,468,-1.6217
ノ,の,368,368,408,-1.2496
デ,で,458,458,468,-1.9346
ガ,が,148,148,468,-1.4760
ニ,に,151,151,282,-1.3804
ダ,だ,453,453,471,-1.9207
デス,です,460,460,17,-2.4302
ト,と,164,164,282,-1.8315
デスゥ,ですぅ,460,460,420,-3.4249
デスゥゥ,ですぅぅ,460,460,17,-3.4255
デスゥゥゥ,ですぅぅぅ,460,460,17,-3.4255
ネ,ね,279,279,47,-2.1710
デハ,では,149,261,17,-6.2926
ハ,は,261,261,468,-1.3881
アル,ある,772,772,481,-3.0053
ナル,なる,772,772,471,-3.1026
デモ,でも,149,262,17,-6.8679
デ,で,308,308,468,-2.9562
カ,か,359,359,468,-2.0138
ヲシ,をし,156,610,17,-7.0890
デモ,でも,341,341,468,-2.6480
、,、,10,10,151,-1.2388
。,。,8,8,61,-1.3314
デキ,でき,625,625,481,-4.3613
デノ,での,149,368,17,-7.4234
タ,た,435,435,282,-1.4107
ミ,見,625,625,52,-4.4382
ジャ,じゃ,308,261,247,-3.4162
デアル,である,458,403,17,-6.4328
