、,、,10,10,151,-1.2388
ヲ,を,156,156,356,-1.4309
ノ,の,368,368,408,-1.2496
ニ,に,151,151,282,-1.3804
ナガラ,ながら,314,314,282,-2.7140
ガ,が,148,148,468,-1.4760
ハ,は,261,261,468,-1.3881
シ,し,610,610,258,-1.5990
タイ,たい,444,444,17,-2.4109
。,。,8,8,61,-1.3314
デ,で,458,458,468,-1.9346
ガ,が,299,299,468,-2.1078
」,」,7,7,121,-2.0635
モ,も,262,262,468,-1.7359
マシ,まし,501,501,17,-2.0568
マス,ます,491,491,17,-2.4964
デ,で,149,149,468,-1.6217
ナカ,中,1285,1285,282,-4.2532
イ,い,930,930,356,-2.1359
ダ,だ,453,453,471,-1.9207
ヤ,や,366,366,43,-2.1736
テ,て,307,307,356,-1.5309
デ,で,308,308,468,-2.9562
・,・,5,5,203,-2.9388
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
マスゥ,ますぅ,491,491,17,-3.3050
マスゥゥ,ますぅぅ,491,491,17,-3.3057
マスゥゥゥ,ますぅぅぅ,491,491,17,-3.3057
サ,さ,605,605,441,-1.9429
