、,、,10,10,151,-1.2388
イイ,いい,37,37,17,-2.7007
ナカ,中,1285,1285,282,-4.2532
ナイ,ない,473,473,468,-1.9102
シ,し,610,610,258,-1.5990
デキル,できる,619,619,481,-4.1018
スキ,好き,1287,1287,66,-4.7441
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
タ,多,1285,1285,351,-5.1111
「,「,6,6,352,-2.0463
イイ,言い,833,833,17,-2.9764
ネ,ね,279,279,47,-2.1710
タチ,立ち,1285,1285,356,-5.2779
ミ,見,1285,1285,52,-5.2814
ヒツヨウ,必要,1287,1287,169,-5.0897
カズ,数,1285,1285,387,-5.3511
ナ,名,1285,1285,454,-5.3515
キリ,切り,1285,1285,60,-5.3593
コノ,この,1315,1315,468,-2.9957
スル,する,599,599,481,-1.9256
イル,いる,619,619,468,-4.6828
ミル,見る,619,619,481,-4.7513
ムラ,村,1285,1285,489,-5.5099
アソビ,遊び,1285,1285,290,-5.5279
ジブン,自分,1285,1285,161,-5.5291
ソノ,その,1315,1315,468,-3.1543
ヒト,人,1285,1285,408,-5.5612
