、,、,10,10,151,-1.2388
モ,も,262,262,468,-1.7359
。,。,8,8,61,-1.3314
！,！,1318,1318,244,-1.8994
サ,さ,605,605,441,-1.9429
テ,て,307,307,356,-1.5309
ト,と,150,150,282,-2.0205
ガ,が,299,299,468,-2.1078
ナウ,なう,32,32,468,-2.1302
ナカレ,なかれ,30,30,468,-2.1302
アル,ある,403,403,481,-2.1662
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
マシ,まし,499,499,17,-2.1989
イロ,いろ,926,926,437,-2.2103
ナレ,なれ,456,456,47,-2.2130
ノ,の,368,368,408,-1.2496
レロ,れろ,874,874,468,-2.2428
ス,す,602,602,481,-2.2718
ウ,う,506,506,133,-2.2793
ト,と,309,309,282,-2.2809
カラ,から,297,297,356,-2.2876
アリ,あり,409,409,249,-2.3617
タイ,たい,444,444,17,-2.4109
アレ,あれ,407,407,47,-2.4420
ナク,なく,481,481,468,-2.5180
シ,し,304,304,258,-2.5250
キ,き,904,904,356,-2.5713
