ト,と,164,164,282,-1.8315
、,、,10,10,151,-1.2388
オオカレ,多かれ,29,29,481,-4.4722
ヨカレ,良かれ,29,29,48,-4.5283
クラカレ,くらかれ,29,29,48,-4.7000
タカカレ,高かれ,29,29,351,-5.1457
「,「,6,6,352,-2.0463
ツヨカレ,強かれ,29,29,43,-5.3678
スゴカレ,すごかれ,29,29,17,-5.4267
ワリカレ,悪かれ,29,29,48,-5.5095
ワルカレ,悪かれ,29,29,48,-5.5095
ヤスカレ,やすかれ,29,29,48,-5.6146
」,」,7,7,121,-2.0635
オモシロカレ,面白かれ,29,29,17,-5.8361
ナカ,中,1285,1285,282,-4.2532
スクナカレ,少なかれ,29,29,471,-5.9408
。,。,8,8,61,-1.3314
ヨカレ,よかれ,29,29,48,-6.0225
チカカレ,近かれ,29,29,471,-6.0446
ハヤカレ,早かれ,29,29,471,-6.0774
ナガカレ,長かれ,29,29,471,-6.0969
コワカレ,怖かれ,29,29,17,-6.1592
コノ,この,1315,1315,468,-2.9957
ソノ,その,1315,1315,468,-3.1543
ヒクカレ,低かれ,29,29,48,-6.3758
ハ,は,261,261,468,-1.3881
スゴカレ,凄かれ,29,29,17,-6.4213
ツラカレ,辛かれ,29,29,48,-6.5473
チイサカレ,小さかれ,29,29,471,-6.5704
ワカカレ,若かれ,29,29,127,-6.5875
