、,、,10,10,151,-1.2388
ナイ,ない,473,473,468,-1.9102
ネエ,ねえ,20,20,468,-2.2417
ノ,の,368,368,408,-1.2496
タ,た,435,435,282,-1.4107
ヲ,を,156,156,356,-1.4309
ナイ,ない,20,20,468,-3.4820
！,！,1318,1318,244,-1.8994
デ,で,458,458,468,-1.9346
サ,さ,605,605,441,-1.9429
シロ,しろ,608,608,437,-1.9511
・,・,5,5,203,-2.9388
カラ,から,147,147,356,-2.0033
ト,と,150,150,282,-2.0205
イル,いる,919,919,468,-2.0252
…,…,5,5,184,-3.0115
レ,れ,876,876,468,-2.0302
。,。,8,8,61,-1.3314
マシ,まし,501,501,17,-2.0568
ガ,が,299,299,468,-2.1078
ナウ,なう,32,32,468,-2.1302
ナカレ,なかれ,30,30,468,-2.1302
ナキ,なき,22,22,468,-2.1302
ナシ,なし,24,24,468,-2.1302
ニ,に,329,329,282,-2.1304
アル,ある,403,403,481,-2.1662
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
