コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
ト,と,309,309,282,-2.2809
ン,ん,1310,1310,437,-3.4233
ト,と,164,164,282,-1.8315
モノ,もの,1310,1310,468,-4.0243
ホウ,方,1310,1310,48,-4.6944
。,。,8,8,61,-1.3314
トキ,時,1310,1310,282,-5.0542
モノ,者,1310,1310,42,-5.0809
ナカ,中,1285,1285,282,-4.2532
コト,事,1310,1310,282,-5.0883
ノデ,ので,316,316,48,-2.3480
、,、,10,10,151,-1.2388
ノ,の,368,368,408,-1.2496
サ,さ,1304,1304,441,-2.7862
メ,目,1310,1310,332,-5.5815
ヨウ,よう,1312,1312,169,-2.2816
ワケ,わけ,1310,1310,268,-5.7382
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
カラ,から,297,297,356,-2.2876
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
キ,気,1310,1310,48,-5.9237
タ,多,1285,1285,351,-5.1111
ンダ,んだ,1310,453,17,-5.9948
タチ,立ち,1285,1285,356,-5.2779
ダケ,だけ,338,338,468,-2.4693
ミ,見,1285,1285,52,-5.2814
