ウ,う,506,506,133,-2.2793
ン,ん,515,515,437,-2.4947
タ,た,435,435,282,-1.4107
テ,て,307,307,356,-1.5309
、,、,10,10,151,-1.2388
」,」,7,7,121,-2.0635
ウカ,うか,506,359,17,-7.0464
バ,ば,318,318,282,-2.3896
。,。,8,8,61,-1.3314
ヨ,よ,288,288,17,-2.1371
ウト,うと,506,164,17,-7.4077
デス,です,460,460,17,-2.4302
サン,さん,1302,1302,420,-2.7324
ト,と,164,164,282,-1.8315
・,・,5,5,203,-2.9388
…,…,5,5,184,-3.0115
ハ,は,261,261,468,-1.3881
コノ,この,1315,1315,468,-2.9957
ジ,じ,507,507,331,-3.4177
モ,も,262,262,468,-1.7359
ウネ,うね,506,279,17,-8.2113
デ,で,149,149,468,-1.6217
カ,か,359,359,468,-2.0138
ウトシ,うとし,506,610,17,-8.2633
ソノ,その,1315,1315,468,-3.1543
』,』,7,7,136,-3.5035
ウナ,うな,506,275,17,-8.4401
ウト,うと,506,150,17,-8.4789
ウカナ,うかな,506,275,17,-8.5006
！,！,1318,1318,244,-1.8994
