コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
ン,ん,1310,1310,437,-3.4233
ナ,な,275,275,287,-2.4649
。,。,8,8,61,-1.3314
モノ,もの,1310,1310,468,-4.0243
カ,か,359,359,468,-2.0138
ト,と,164,164,282,-1.8315
ヨ,よ,288,288,17,-2.1371
ナカ,中,1285,1285,282,-4.2532
デス,です,460,460,17,-2.4302
ホウ,方,1310,1310,48,-4.6944
ケド,けど,301,301,17,-2.3273
カラ,から,297,297,356,-2.2876
トキ,時,1310,1310,282,-5.0542
モノ,者,1310,1310,42,-5.0809
コト,事,1310,1310,282,-5.0883
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
タ,た,435,435,282,-1.4107
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
タ,多,1285,1285,351,-5.1111
シ,し,610,610,258,-1.5990
タチ,立ち,1285,1285,356,-5.2779
ミ,見,1285,1285,52,-5.2814
ナァ,なぁ,275,275,420,-4.2367
カズ,数,1285,1285,387,-5.3511
ナ,名,1285,1285,454,-5.3515
キリ,切り,1285,1285,60,-5.3593
