。,。,8,8,61,-1.3314
ト,と,309,309,282,-2.2809
コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
ン,ん,1310,1310,437,-3.4233
、,、,10,10,151,-1.2388
モノ,もの,1310,1310,468,-4.0243
ノ,の,368,368,408,-1.2496
カラ,から,297,297,356,-2.2876
ヨウ,よう,1312,1312,169,-2.2816
ナカ,中,1285,1285,282,-4.2532
ト,と,164,164,282,-1.8315
タ,た,435,435,282,-1.4107
ガ,が,299,299,468,-2.1078
ヲ,を,156,156,356,-1.4309
ホウ,方,1310,1310,48,-4.6944
ノデ,ので,316,316,48,-2.3480
ガ,が,148,148,468,-1.4760
カ,か,359,359,468,-2.0138
ヨ,よ,288,288,17,-2.1371
タメ,ため,1313,1313,282,-3.3371
シ,し,610,610,258,-1.5990
デ,で,149,149,468,-1.6217
」,」,7,7,121,-2.0635
トイウ,という,173,173,468,-2.2674
トキ,時,1310,1310,282,-5.0542
モノ,者,1310,1310,42,-5.0809
コト,事,1310,1310,282,-5.0883
・,・,5,5,203,-2.9388
ナ,な,454,454,287,-1.8657
