。,。,8,8,61,-1.3314
カ,か,359,359,468,-2.0138
ト,と,309,309,282,-2.2809
コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
ン,ん,1310,1310,437,-3.4233
ヨリ,より,155,155,351,-2.5652
モノ,もの,1310,1310,468,-4.0243
ケド,けど,301,301,17,-2.3273
ガ,が,299,299,468,-2.1078
ホウ,方,1310,1310,48,-4.6944
カラ,から,297,297,356,-2.2876
「,「,6,6,352,-2.0463
ノデ,ので,316,316,48,-2.3480
ナカ,中,1285,1285,282,-4.2532
ニ,に,151,151,282,-1.3804
ダケ,だけ,338,338,468,-2.4693
トキ,時,1310,1310,282,-5.0542
モノ,者,1310,1310,42,-5.0809
コト,事,1310,1310,282,-5.0883
、,、,10,10,151,-1.2388
ナ,な,275,275,287,-2.4649
ヨウ,よう,1312,1312,169,-2.2816
メ,目,1310,1310,332,-5.5815
キレ,切れ,1285,1285,268,-5.0162
ノニ,のに,317,317,17,-2.7668
フクミ,含み,1285,1285,258,-5.0307
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
タメ,ため,1313,1313,282,-3.3371
