。,。,8,8,61,-1.3314
、,、,10,10,151,-1.2388
・,・,5,5,203,-2.9388
…,…,5,5,184,-3.0115
ヨ,よ,288,288,17,-2.1371
ネ,ね,279,279,47,-2.1710
！,！,1318,1318,244,-1.8994
ト,と,150,150,282,-2.0205
ガ,が,299,299,468,-2.1078
ナカレ,なかれ,30,30,468,-2.1302
ニ,に,329,329,282,-2.1304
アル,ある,403,403,481,-2.1662
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
マシ,まし,499,499,17,-2.1989
イロ,いろ,926,926,437,-2.2103
ナレ,なれ,456,456,47,-2.2130
レロ,れろ,874,874,468,-2.2428
ト,と,309,309,282,-2.2809
〜,〜,5,5,244,-3.8914
ノデ,ので,316,316,48,-2.3480
アレ,あれ,407,407,47,-2.4420
ナク,なく,481,481,468,-2.5180
シ,し,304,304,258,-2.5250
キ,き,904,904,356,-2.5713
ソウ,そう,1301,1301,17,-2.5977
」,」,7,7,121,-2.0635
ニヨッテ,によって,210,210,468,-2.6910
