マデ,まで,355,355,143,-2.3335
。,。,8,8,61,-1.3314
ノ,の,368,368,408,-1.2496
コト,こと,1310,1310,282,-2.7223
ノ,の,1310,1310,408,-2.8286
タメ,ため,1313,1313,282,-3.3371
、,、,10,10,151,-1.2388
ト,と,164,164,282,-1.8315
ン,ん,1310,1310,437,-3.4233
ト,と,309,309,282,-2.2809
ダケ,だけ,338,338,468,-2.4693
トキ,時,1313,1313,282,-4.1425
ナカ,中,1285,1285,282,-4.2532
ナカ,中,1313,1313,282,-4.2532
」,」,7,7,121,-2.0635
モノ,もの,1310,1310,468,-4.0243
ヨ,よ,288,288,17,-2.1371
・,・,5,5,203,-2.9388
…,…,5,5,184,-3.0115
タ,た,435,435,282,-1.4107
トコロ,ところ,1313,1313,282,-4.6339
ガ,が,148,148,468,-1.4760
ガ,が,299,299,468,-2.1078
トキ,とき,1313,1313,282,-4.7065
ワ,わ,291,291,36,-2.7063
シ,し,610,610,258,-1.5990
デ,で,149,149,468,-1.6217
ッテ,って,167,167,17,-2.3182
イジョウ,以上,1313,1313,387,-4.8622
ホウ,方,1310,1310,48,-4.6944
