、,、,10,10,151,-1.2388
ノ,の,368,368,408,-1.2496
シ,し,610,610,258,-1.5990
ハ,は,261,261,468,-1.3881
ナ,な,454,454,287,-1.8657
ダ,だ,453,453,471,-1.9207
ニ,に,329,329,282,-2.1304
カ,か,359,359,468,-2.0138
モ,も,262,262,468,-1.7359
ニ,に,151,151,282,-1.3804
ナカ,中,1285,1285,282,-4.2532
ト,と,328,328,282,-2.9659
デス,です,460,460,17,-2.4302
デ,で,458,458,468,-1.9346
。,。,8,8,61,-1.3314
アル,ある,772,772,481,-3.0053
ナル,なる,772,772,471,-3.1026
キレ,切れ,1285,1285,268,-5.0162
フクミ,含み,1285,1285,258,-5.0307
スル,する,599,599,481,-1.9256
トキ,時,1285,1285,282,-5.0542
モノ,者,1285,1285,42,-5.0809
タ,多,1285,1285,351,-5.1111
！,！,1318,1318,244,-1.8994
「,「,6,6,352,-2.0463
タチ,立ち,1285,1285,356,-5.2779
ミ,見,1285,1285,52,-5.2814
ト,と,150,150,282,-2.0205
イル,いる,919,919,468,-2.0252
カズ,数,1285,1285,387,-5.3511
