テ,て,307,307,356,-1.5309
ノ,の,368,368,408,-1.2496
テル,てる,307,919,17,-4.1416
テ,て,307,930,356,-4.6423
ハ,は,261,261,468,-1.3881
タイ,たい,444,444,17,-2.4109
シ,し,610,610,258,-1.5990
ナガラ,ながら,314,314,282,-2.7140
マス,ます,491,491,17,-2.4964
テイル,ている,307,919,17,-5.6395
オ,お,560,560,437,-3.4466
モ,も,262,262,468,-1.7359
マシ,まし,501,501,17,-2.0568
ガ,が,148,148,468,-1.4760
テイ,てい,307,930,17,-5.9179
、,、,10,10,151,-1.2388
ゴ,ご,560,560,78,-4.1469
テイタ,ていた,307,435,17,-6.4055
。,。,8,8,61,-1.3314
マスゥ,ますぅ,491,491,17,-3.3050
マスゥゥ,ますぅぅ,491,491,17,-3.3057
マスゥゥゥ,ますぅぅぅ,491,491,17,-3.3057
ナ,な,275,275,287,-2.4649
」,」,7,7,121,-2.0635
ニ,に,151,151,282,-1.3804
テモ,ても,307,262,17,-6.4855
タ,た,435,435,282,-1.4107
テタ,てた,307,435,17,-6.4878
ヲ,を,156,156,356,-1.4309
テキ,てき,307,904,17,-6.6096
