。,。,8,8,61,-1.3314
ダ,だ,453,453,471,-1.9207
デス,です,460,460,17,-2.4302
・,・,5,5,203,-2.9388
…,…,5,5,184,-3.0115
、,、,10,10,151,-1.2388
ネ,ね,279,279,47,-2.1710
！,！,1318,1318,244,-1.8994
ナイ,ない,473,473,468,-1.9102
カラ,から,147,147,356,-2.0033
イル,いる,919,919,468,-2.0252
マシ,まし,501,501,17,-2.0568
？,？,1317,1317,17,-2.1966
ガ,が,299,299,468,-2.1078
ナウ,なう,32,32,468,-2.1302
ナカレ,なかれ,30,30,468,-2.1302
ナキ,なき,22,22,468,-2.1302
ニ,に,329,329,282,-2.1304
アル,ある,403,403,481,-2.1662
ナイ,ない,482,482,468,-2.1865
ナ,な,468,468,287,-2.1946
ナキ,なき,474,474,495,-2.1971
ナシ,なし,475,475,258,-2.1972
マセ,ませ,497,497,17,-2.1975
ナク,なく,36,36,468,-2.1982
マシ,まし,499,499,17,-2.1989
イロ,いろ,926,926,437,-2.2103
ナレ,なれ,456,456,47,-2.2130
レロ,れろ,874,874,468,-2.2428
ス,す,602,602,481,-2.2718
